2 | 2026-06-03 | 1 | Học 30 phút mỗi ngày | 0.0 | 0.5 | hours | IN_PROGRESS
2 | 2026-06-03 | 2 | Hoàn thành 1 task mỗi ngày | 0.0 | 1.0 | tasks | IN_PROGRESS
2 | 2026-06-03 | 3 | Học 1 giờ mỗi ngày | 0.0 | 1.0 | hours | IN_PROGRESS
2 | 2026-06-03 | 4 | Hoàn thành 3 task mỗi ngày | 0.0 | 2.0 | tasks | IN_PROGRESS
2 | 2026-06-03 | 5 | Học 3 giờ mỗi ngày | 0.0 | 3.0 | hours | IN_PROGRESS
2 | 2026-06-03 | 6 | Hoàn thành 5 task mỗi ngày | 0.0 | 5.0 | tasks | IN_PROGRESS
3 | 2026-06-03 | 1 | Học 30 phút mỗi ngày | 0.0 | 0.5 | hours | IN_PROGRESS
3 | 2026-06-03 | 2 | Hoàn thành 1 task mỗi ngày | 0.0 | 1.0 | tasks | IN_PROGRESS
3 | 2026-06-03 | 3 | Học 1 giờ mỗi ngày | 0.0 | 1.0 | hours | IN_PROGRESS
3 | 2026-06-03 | 4 | Hoàn thành 3 task mỗi ngày | 0.0 | 2.0 | tasks | IN_PROGRESS
3 | 2026-06-03 | 5 | Học 3 giờ mỗi ngày | 0.0 | 3.0 | hours | IN_PROGRESS
3 | 2026-06-03 | 6 | Hoàn thành 5 task mỗi ngày | 0.0 | 5.0 | tasks | IN_PROGRESS
4 | 2026-06-03 | 1 | Học 30 phút mỗi ngày | 0.0 | 0.5 | hours | IN_PROGRESS
4 | 2026-06-03 | 2 | Hoàn thành 1 task mỗi ngày | 0.0 | 1.0 | tasks | IN_PROGRESS
4 | 2026-06-03 | 3 | Học 1 giờ mỗi ngày | 0.0 | 1.0 | hours | IN_PROGRESS
4 | 2026-06-03 | 4 | Hoàn thành 3 task mỗi ngày | 0.0 | 2.0 | tasks | IN_PROGRESS
4 | 2026-06-03 | 5 | Học 3 giờ mỗi ngày | 0.0 | 3.0 | hours | IN_PROGRESS
4 | 2026-06-03 | 6 | Hoàn thành 5 task mỗi ngày | 0.0 | 5.0 | tasks | IN_PROGRESS
1 | 2026-06-05 | 1 | Học 30 phút mỗi ngày | 0.0 | 0.5 | hours | FAILED
1 | 2026-06-05 | 2 | Hoàn thành 1 task mỗi ngày | 0.0 | 1.0 | tasks | FAILED
1 | 2026-06-05 | 3 | Học 1 giờ mỗi ngày | 0.0 | 1.0 | hours | FAILED
1 | 2026-06-05 | 4 | Hoàn thành 3 task mỗi ngày | 0.0 | 3.0 | tasks | FAILED
1 | 2026-06-05 | 5 | Học 3 giờ mỗi ngày | 0.0 | 3.0 | hours | FAILED
1 | 2026-06-05 | 6 | Hoàn thành 5 task mỗi ngày | 0.0 | 5.0 | tasks | FAILED
1 | 2026-06-09 | 1 | Học 30 phút mỗi ngày | 0.1 | 0.0 | hours | ACHIEVED
1 | 2026-06-09 | 2 | Hoàn thành 1 task mỗi ngày | 0.0 | 1.0 | tasks | FAILED
1 | 2026-06-09 | 3 | Học 1 giờ mỗi ngày | 0.1 | 1.0 | hours | FAILED
1 | 2026-06-09 | 4 | Hoàn thành 3 task mỗi ngày | 0.0 | 3.0 | tasks | FAILED
1 | 2026-06-09 | 5 | Học 3 giờ mỗi ngày | 0.1 | 3.0 | hours | FAILED
1 | 2026-06-09 | 6 | Hoàn thành 5 task mỗi ngày | 0.0 | 5.0 | tasks | FAILED
1 | 2026-06-10 | 1 | Học 30 phút mỗi ngày | 0.0 | 0.0167 | hours | IN_PROGRESS
1 | 2026-06-10 | 2 | Hoàn thành 1 task mỗi ngày | 1.0 | 1.0 | tasks | ACHIEVED
1 | 2026-06-10 | 3 | Học 1 giờ mỗi ngày | 0.0 | 1.0 | hours | IN_PROGRESS
1 | 2026-06-10 | 4 | Hoàn thành 3 task mỗi ngày | 1.0 | 3.0 | tasks | IN_PROGRESS
1 | 2026-06-10 | 5 | Học 3 giờ mỗi ngày | 0.0 | 3.0 | hours | IN_PROGRESS
1 | 2026-06-10 | 6 | Hoàn thành 5 task mỗi ngày | 1.0 | 5.0 | tasks | IN_PROGRESS
